Location Name,TaxpayerID,Latitude,Longitude,Distance_mi,Total_Revenue,Avg_GeoPressure,Max_GeoPressure
100% TAQUITO CO,17604758197,29.7287159,-95.4309611,4.660074301994667,202468320.0,1.0498426979604483,1.3345112531103533
"1424A WESTHEIMER BAR GROUP, L.L.C.",32065878632,29.7431567,-95.3969275,3.279665115223327,1499245200.0,122.92720434826613,174.76084913495973
17FIFTYLOUNGE,32086557934,29.7498299,-95.4573546,4.446811509519042,474370872.0,5.949637808594493,8.643902877381251
1820,32088227478,29.7581607,-95.3527706,3.6070686489853423,595588680.0,50.74259483938173,76.1007803823563
1HR WL TEXAS BEVERAGE CORPORATION,32065668223,29.755549,-95.3666532,3.135929114662358,0.0,0.0,0.0
2,32059880404,29.7482731,-95.3898809,2.982812961849256,980912664.0,140.9313929534439,258.2549809786512
2106 N. DALLAS STREET LLC,32100999146,,,,44776.0,,
2307 LOUNGE,32055693728,29.7436267,-95.4499835,4.418262240550978,240816240.0,2.025294632539849,3.2155042409261325
2323 LOUNGE,32061685668,29.7433431,-95.4493258,4.406048958109902,217870560.0,1.877626960289201,2.716458936223133
"2600 ENTERTAINMENT GROUP, LLC",32078864546,29.7458597,-95.3752656,3.4242080200788223,10074225.0,47.51161927293843,47.51232669637705
306 MAIN CORP,32092470692,29.7621489,-95.3612231,3.040104196622157,21616800.0,30.907968986194465,85.33578025410058
"3503 RESTAURANT GROUP, LLC",32079059872,29.7570351,-95.4029222,2.3226714741708507,2135746800.0,1187.2965809616674,2546.545562721731
411 SPORTS BAR & GRILL,32081583505,29.8061714,-95.3990668,1.0805235066752463,17425375.0,721.3368743731936,721.4101862878305
53 ROXY LLC,32081703434,29.7375604,-95.4689225,5.5249303011510955,436003920.0,1.0934067231441364,2.065680879702535
632 REST GROUP,32068551053,29.8025675,-95.4094701,1.0079129423402664,1516669920.0,11691.904979783763,14521.392541905803
713 MUSIC HALL,32057204672,29.7662149,-95.3648839,2.692031341170011,14306061600.0,1787.9060109006025,3460.8033997207317
7620 KATY FREEWAY,32065189212,29.7859649,-95.4646835,3.895271330637556,0.0,0.0,0.0
810 BILLARDS & BOWLING-HOUSTON,32076818940,29.7537638,-95.3644994,3.3133626618022776,1264428720.0,96.91709151977575,149.89157989537122
8TH WONDER BREWERY,32042046964,29.7487634,-95.3559788,3.909974080011451,22055976.0,13.670705888289174,22.971942982069493
8TH WONDER DISTILLERY,32052020354,29.7494601,-95.3554029,3.898142419945224,10984800.0,2.352921510716733,7.146465735936145
910 WESTHEIMER,32090970396,29.7449054,-95.390966,3.19945121736801,396608832.0,143.1666599697627,454.9233174317921
917 FRANKLIN RESTAURANT,32090822621,29.7633216,-95.3602592,3.03356118241938,0.0,0.0,0.0
93 TIL,32075532641,29.7357558,-95.3994625,3.7861534141073605,625659120.0,18.62871809187628,37.983787496269265
A TONY'S MEXICAN RESTAURANT & CANTINA LLC,15624464135,29.8064672,-95.4288166,2.0511504956022377,2136528720.0,2044.364417624923,2547.384405170446
A-1 CIGAR BAR & LOUNGE,32089419272,29.7320858,-95.4780029,6.184057113916053,152365752.0,0.2230935358425221,0.4262999445224067
ABASOLO RESTAURANT & SEAFOOD,32055141074,29.7760948,-95.3609147,2.5444558375721837,107964720.0,38.5169478200994,51.83917640603384
ABDALLAH'S LEBANESE RESTAURANT & BAKERY,17604367056,29.7242694,-95.5006461,7.580473717764566,467208.0,0.00012070740871341298,0.0007242444522804778
ABURI,32071403037,29.7298502,-95.4370544,4.748306708346898,221247672.0,1.2543004746218525,1.8580411879915477
AC HOTEL HOUSTON DOWNTOWN,32081546791,29.7584982,-95.3633897,3.116015685357671,1568390940.0,3.8832238734611404,64.1229781974738
ACAPELLA'S HOUSTON,32094523977,,,,2014890.0,,
ACME OYSTER HOUSE,32073629811,29.7445055,-95.3930553,3.208171226130294,1487760.0,25.33258590202365,43.713115805253516
ADAIR DOWNTOWN,32048119526,29.7585002,-95.3683567,2.9140636487934244,593246880.0,25.796662768644794,64.54397249069802
